treatment,round_of_ten,Rounds,role,tax,q,variable,net_of_tax
notax,2,Rounds 1-10,seller,0,22,18,18
notax,2,Rounds 1-10,seller,0,24,20,20
notax,2,Rounds 1-10,seller,0,24,40,40
notax,2,Rounds 11-20,buyer,0,0,40,40
notax,2,Rounds 11-20,buyer,0,2,29,29
notax,2,Rounds 11-20,buyer,0,5,27,27
notax,2,Rounds 11-20,buyer,0,8,25,25
notax,2,Rounds 11-20,buyer,0,9,23,23
notax,2,Rounds 11-20,buyer,0,11,19,19
notax,2,Rounds 11-20,buyer,0,12,15,15
notax,2,Rounds 11-20,buyer,0,14,11,11
notax,2,Rounds 11-20,buyer,0,14,0,0
notax,2,Rounds 11-20,seller,0,0,0,0
notax,2,Rounds 11-20,seller,0,1,2,2
notax,2,Rounds 11-20,seller,0,2,4,4
notax,2,Rounds 11-20,seller,0,6,6,6
notax,2,Rounds 11-20,seller,0,7,8,8
notax,2,Rounds 11-20,seller,0,9,10,10
notax,2,Rounds 11-20,seller,0,11,12,12
notax,2,Rounds 11-20,seller,0,12,14,14
notax,2,Rounds 11-20,seller,0,14,16,16
notax,2,Rounds 11-20,seller,0,17,20,20
notax,2,Rounds 11-20,seller,0,17,40,40
notax,3,Rounds 1-10,buyer,0,0,40,40
notax,3,Rounds 1-10,buyer,0,1,29,29
notax,3,Rounds 1-10,buyer,0,2,25,25
notax,3,Rounds 1-10,buyer,0,3,21,21
notax,3,Rounds 1-10,buyer,0,5,19,19
notax,3,Rounds 1-10,buyer,0,7,17,17
notax,3,Rounds 1-10,buyer,0,11,15,15
notax,3,Rounds 1-10,buyer,0,12,11,11
notax,3,Rounds 1-10,buyer,0,12,0,0
notax,3,Rounds 1-10,seller,0,0,0,0
notax,3,Rounds 1-10,seller,0,4,2,2
notax,3,Rounds 1-10,seller,0,7,4,4
notax,3,Rounds 1-10,seller,0,9,6,6
notax,3,Rounds 1-10,seller,0,10,8,8
notax,3,Rounds 1-10,seller,0,11,10,10
notax,3,Rounds 1-10,seller,0,12,12,12
notax,3,Rounds 1-10,seller,0,14,14,14
notax,3,Rounds 1-10,seller,0,17,16,16
notax,3,Rounds 1-10,seller,0,22,18,18
notax,3,Rounds 1-10,seller,0,24,20,20
notax,3,Rounds 1-10,seller,0,24,40,40
notax,3,Rounds 11-20,buyer,0,0,40,40
notax,3,Rounds 11-20,buyer,0,2,29,29
notax,3,Rounds 11-20,buyer,0,5,27,27
notax,3,Rounds 11-20,buyer,0,8,25,25
notax,3,Rounds 11-20,buyer,0,9,23,23
notax,3,Rounds 11-20,buyer,0,11,19,19
notax,3,Rounds 11-20,buyer,0,12,15,15
notax,3,Rounds 11-20,buyer,0,14,11,11
notax,3,Rounds 11-20,buyer,0,14,0,0
notax,3,Rounds 11-20,seller,0,0,0,0
notax,3,Rounds 11-20,seller,0,1,2,2
notax,3,Rounds 11-20,seller,0,2,4,4
notax,3,Rounds 11-20,seller,0,6,6,6
notax,3,Rounds 11-20,seller,0,7,8,8
notax,3,Rounds 11-20,seller,0,9,10,10
notax,3,Rounds 11-20,seller,0,11,12,12
notax,3,Rounds 11-20,seller,0,12,14,14
notax,3,Rounds 11-20,seller,0,14,16,16
notax,3,Rounds 11-20,seller,0,17,20,20
notax,3,Rounds 11-20,seller,0,17,40,40
notax,4,Rounds 1-10,buyer,0,0,40,40
notax,4,Rounds 1-10,buyer,0,1,29,29
notax,4,Rounds 1-10,buyer,0,2,25,25
notax,4,Rounds 1-10,buyer,0,3,21,21
notax,4,Rounds 1-10,buyer,0,5,19,19
notax,4,Rounds 1-10,buyer,0,7,17,17
notax,4,Rounds 1-10,buyer,0,11,15,15
notax,4,Rounds 1-10,buyer,0,12,11,11
notax,4,Rounds 1-10,buyer,0,12,0,0
notax,4,Rounds 1-10,seller,0,0,0,0
notax,4,Rounds 1-10,seller,0,4,2,2
notax,4,Rounds 1-10,seller,0,7,4,4
notax,4,Rounds 1-10,seller,0,9,6,6
notax,4,Rounds 1-10,seller,0,10,8,8
notax,4,Rounds 1-10,seller,0,11,10,10
notax,4,Rounds 1-10,seller,0,12,12,12
notax,4,Rounds 1-10,seller,0,14,14,14
notax,4,Rounds 1-10,seller,0,17,16,16
notax,4,Rounds 1-10,seller,0,22,18,18
notax,4,Rounds 1-10,seller,0,24,20,20
notax,4,Rounds 1-10,seller,0,24,40,40
notax,4,Rounds 11-20,buyer,0,0,40,40
notax,4,Rounds 11-20,buyer,0,2,29,29
notax,4,Rounds 11-20,buyer,0,5,27,27
notax,4,Rounds 11-20,buyer,0,8,25,25
notax,4,Rounds 11-20,buyer,0,9,23,23
notax,4,Rounds 11-20,buyer,0,11,19,19
notax,4,Rounds 11-20,buyer,0,12,15,15
notax,4,Rounds 11-20,buyer,0,14,11,11
notax,4,Rounds 11-20,buyer,0,14,0,0
notax,4,Rounds 11-20,seller,0,0,0,0
notax,4,Rounds 11-20,seller,0,1,2,2
notax,4,Rounds 11-20,seller,0,2,4,4
notax,4,Rounds 11-20,seller,0,6,6,6
notax,4,Rounds 11-20,seller,0,7,8,8
notax,4,Rounds 11-20,seller,0,9,10,10
notax,4,Rounds 11-20,seller,0,11,12,12
notax,4,Rounds 11-20,seller,0,12,14,14
notax,4,Rounds 11-20,seller,0,14,16,16
notax,4,Rounds 11-20,seller,0,17,20,20
notax,4,Rounds 11-20,seller,0,17,40,40
notax,5,Rounds 1-10,buyer,0,0,40,40
notax,5,Rounds 1-10,buyer,0,1,29,29
notax,5,Rounds 1-10,buyer,0,2,25,25
notax,5,Rounds 1-10,buyer,0,3,21,21
notax,5,Rounds 1-10,buyer,0,5,19,19
notax,5,Rounds 1-10,buyer,0,7,17,17
notax,5,Rounds 1-10,buyer,0,10,15,15
notax,5,Rounds 1-10,buyer,0,11,11,11
notax,5,Rounds 1-10,buyer,0,11,0,0
notax,5,Rounds 1-10,seller,0,0,0,0
notax,5,Rounds 1-10,seller,0,4,2,2
notax,5,Rounds 1-10,seller,0,7,4,4
notax,5,Rounds 1-10,seller,0,9,6,6
notax,5,Rounds 1-10,seller,0,10,8,8
notax,5,Rounds 1-10,seller,0,11,10,10
notax,5,Rounds 1-10,seller,0,12,12,12
notax,5,Rounds 1-10,seller,0,14,14,14
notax,5,Rounds 1-10,seller,0,17,16,16
notax,5,Rounds 1-10,seller,0,22,18,18
notax,5,Rounds 1-10,seller,0,24,20,20
notax,5,Rounds 1-10,seller,0,24,40,40
notax,5,Rounds 11-20,buyer,0,0,40,40
notax,5,Rounds 11-20,buyer,0,2,29,29
notax,5,Rounds 11-20,buyer,0,5,27,27
notax,5,Rounds 11-20,buyer,0,8,25,25
notax,5,Rounds 11-20,buyer,0,9,23,23
notax,5,Rounds 11-20,buyer,0,11,19,19
notax,5,Rounds 11-20,buyer,0,12,15,15
notax,5,Rounds 11-20,buyer,0,14,11,11
notax,5,Rounds 11-20,buyer,0,14,0,0
notax,5,Rounds 11-20,seller,0,0,0,0
notax,5,Rounds 11-20,seller,0,1,2,2
notax,5,Rounds 11-20,seller,0,2,4,4
notax,5,Rounds 11-20,seller,0,6,6,6
notax,5,Rounds 11-20,seller,0,7,8,8
notax,5,Rounds 11-20,seller,0,9,10,10
notax,5,Rounds 11-20,seller,0,11,12,12
notax,5,Rounds 11-20,seller,0,12,14,14
notax,5,Rounds 11-20,seller,0,14,16,16
notax,5,Rounds 11-20,seller,0,17,20,20
notax,5,Rounds 11-20,seller,0,17,40,40
notax,6,Rounds 1-10,buyer,0,0,40,40
notax,6,Rounds 1-10,buyer,0,1,29,29
notax,6,Rounds 1-10,buyer,0,2,25,25
notax,6,Rounds 1-10,buyer,0,3,21,21
notax,6,Rounds 1-10,buyer,0,5,19,19
notax,6,Rounds 1-10,buyer,0,7,17,17
notax,6,Rounds 1-10,buyer,0,10,15,15
notax,6,Rounds 1-10,buyer,0,11,11,11
notax,6,Rounds 1-10,buyer,0,11,0,0
notax,6,Rounds 1-10,seller,0,0,0,0
notax,6,Rounds 1-10,seller,0,3,2,2
notax,6,Rounds 1-10,seller,0,6,4,4
notax,6,Rounds 1-10,seller,0,8,6,6
notax,6,Rounds 1-10,seller,0,9,8,8
notax,6,Rounds 1-10,seller,0,10,10,10
notax,6,Rounds 1-10,seller,0,11,12,12
notax,6,Rounds 1-10,seller,0,13,14,14
notax,6,Rounds 1-10,seller,0,16,16,16
notax,6,Rounds 1-10,seller,0,21,18,18
notax,6,Rounds 1-10,seller,0,23,20,20
notax,6,Rounds 1-10,seller,0,23,40,40
notax,6,Rounds 11-20,buyer,0,0,40,40
notax,6,Rounds 11-20,buyer,0,2,29,29
notax,6,Rounds 11-20,buyer,0,5,27,27
notax,6,Rounds 11-20,buyer,0,8,25,25
notax,6,Rounds 11-20,buyer,0,9,23,23
notax,6,Rounds 11-20,buyer,0,11,19,19
notax,6,Rounds 11-20,buyer,0,12,15,15
notax,6,Rounds 11-20,buyer,0,14,11,11
notax,6,Rounds 11-20,buyer,0,14,0,0
notax,6,Rounds 11-20,seller,0,0,0,0
notax,6,Rounds 11-20,seller,0,1,2,2
notax,6,Rounds 11-20,seller,0,2,4,4
notax,6,Rounds 11-20,seller,0,6,6,6
notax,6,Rounds 11-20,seller,0,7,8,8
notax,6,Rounds 11-20,seller,0,9,10,10
notax,6,Rounds 11-20,seller,0,11,12,12
notax,6,Rounds 11-20,seller,0,12,14,14
notax,6,Rounds 11-20,seller,0,14,16,16
notax,6,Rounds 11-20,seller,0,17,20,20
notax,6,Rounds 11-20,seller,0,17,40,40
notax,7,Rounds 1-10,buyer,0,0,40,40
notax,7,Rounds 1-10,buyer,0,1,29,29
notax,7,Rounds 1-10,buyer,0,2,25,25
notax,7,Rounds 1-10,buyer,0,3,21,21
notax,7,Rounds 1-10,buyer,0,5,19,19
notax,7,Rounds 1-10,buyer,0,7,17,17
notax,7,Rounds 1-10,buyer,0,10,15,15
notax,7,Rounds 1-10,buyer,0,11,11,11
notax,7,Rounds 1-10,buyer,0,11,0,0
notax,7,Rounds 1-10,seller,0,0,0,0
notax,7,Rounds 1-10,seller,0,3,2,2
notax,7,Rounds 1-10,seller,0,6,4,4
notax,7,Rounds 1-10,seller,0,8,6,6
notax,7,Rounds 1-10,seller,0,9,8,8
notax,7,Rounds 1-10,seller,0,10,10,10
notax,7,Rounds 1-10,seller,0,11,12,12
notax,7,Rounds 1-10,seller,0,13,14,14
notax,7,Rounds 1-10,seller,0,16,16,16
notax,7,Rounds 1-10,seller,0,21,18,18
notax,7,Rounds 1-10,seller,0,23,20,20
notax,7,Rounds 1-10,seller,0,23,40,40
notax,7,Rounds 11-20,buyer,0,0,40,40
notax,7,Rounds 11-20,buyer,0,2,29,29
notax,7,Rounds 11-20,buyer,0,5,27,27
notax,7,Rounds 11-20,buyer,0,8,25,25
notax,7,Rounds 11-20,buyer,0,9,23,23
notax,7,Rounds 11-20,buyer,0,11,19,19
notax,7,Rounds 11-20,buyer,0,12,15,15
notax,7,Rounds 11-20,buyer,0,14,11,11
notax,7,Rounds 11-20,buyer,0,14,0,0
notax,7,Rounds 11-20,seller,0,0,0,0
notax,7,Rounds 11-20,seller,0,1,2,2
notax,7,Rounds 11-20,seller,0,2,4,4
notax,7,Rounds 11-20,seller,0,6,6,6
notax,7,Rounds 11-20,seller,0,7,8,8
notax,7,Rounds 11-20,seller,0,9,10,10
notax,7,Rounds 11-20,seller,0,11,12,12
notax,7,Rounds 11-20,seller,0,12,14,14
notax,7,Rounds 11-20,seller,0,14,16,16
notax,7,Rounds 11-20,seller,0,17,20,20
notax,7,Rounds 11-20,seller,0,17,40,40
notax,8,Rounds 1-10,buyer,0,0,40,40
notax,8,Rounds 1-10,buyer,0,1,29,29
notax,8,Rounds 1-10,buyer,0,2,25,25
notax,8,Rounds 1-10,buyer,0,3,21,21
notax,8,Rounds 1-10,buyer,0,5,19,19
notax,8,Rounds 1-10,buyer,0,7,17,17
notax,8,Rounds 1-10,buyer,0,10,15,15
notax,8,Rounds 1-10,buyer,0,11,11,11
notax,8,Rounds 1-10,buyer,0,11,0,0
notax,8,Rounds 1-10,seller,0,0,0,0
notax,8,Rounds 1-10,seller,0,3,2,2
notax,8,Rounds 1-10,seller,0,6,4,4
notax,8,Rounds 1-10,seller,0,8,6,6
notax,8,Rounds 1-10,seller,0,9,8,8
notax,8,Rounds 1-10,seller,0,10,10,10
notax,8,Rounds 1-10,seller,0,11,12,12
notax,8,Rounds 1-10,seller,0,13,14,14
notax,8,Rounds 1-10,seller,0,16,16,16
notax,8,Rounds 1-10,seller,0,21,18,18
notax,8,Rounds 1-10,seller,0,23,20,20
notax,8,Rounds 1-10,seller,0,23,40,40
notax,8,Rounds 11-20,buyer,0,0,40,40
notax,8,Rounds 11-20,buyer,0,2,29,29
notax,8,Rounds 11-20,buyer,0,5,27,27
notax,8,Rounds 11-20,buyer,0,8,25,25
notax,8,Rounds 11-20,buyer,0,9,23,23
notax,8,Rounds 11-20,buyer,0,11,19,19
notax,8,Rounds 11-20,buyer,0,12,15,15
notax,8,Rounds 11-20,buyer,0,14,11,11
notax,8,Rounds 11-20,buyer,0,14,0,0
notax,8,Rounds 11-20,seller,0,0,0,0
notax,8,Rounds 11-20,seller,0,1,2,2
notax,8,Rounds 11-20,seller,0,2,4,4
notax,8,Rounds 11-20,seller,0,6,6,6
notax,8,Rounds 11-20,seller,0,7,8,8
notax,8,Rounds 11-20,seller,0,9,10,10
notax,8,Rounds 11-20,seller,0,11,12,12
notax,8,Rounds 11-20,seller,0,12,14,14
notax,8,Rounds 11-20,seller,0,14,16,16
notax,8,Rounds 11-20,seller,0,17,20,20
notax,8,Rounds 11-20,seller,0,17,40,40
notax,9,Rounds 1-10,buyer,0,0,40,40
notax,9,Rounds 1-10,buyer,0,1,29,29
notax,9,Rounds 1-10,buyer,0,2,25,25
notax,9,Rounds 1-10,buyer,0,3,21,21
notax,9,Rounds 1-10,buyer,0,5,19,19
notax,9,Rounds 1-10,buyer,0,7,17,17
notax,9,Rounds 1-10,buyer,0,10,15,15
notax,9,Rounds 1-10,buyer,0,11,11,11
notax,9,Rounds 1-10,buyer,0,11,0,0
notax,9,Rounds 1-10,seller,0,0,0,0
notax,9,Rounds 1-10,seller,0,3,2,2
notax,9,Rounds 1-10,seller,0,6,4,4
notax,9,Rounds 1-10,seller,0,8,6,6
notax,9,Rounds 1-10,seller,0,9,8,8
notax,9,Rounds 1-10,seller,0,10,10,10
notax,9,Rounds 1-10,seller,0,11,12,12
notax,9,Rounds 1-10,seller,0,13,14,14
notax,9,Rounds 1-10,seller,0,16,16,16
notax,9,Rounds 1-10,seller,0,21,18,18
notax,9,Rounds 1-10,seller,0,23,20,20
notax,9,Rounds 1-10,seller,0,23,40,40
notax,9,Rounds 11-20,buyer,0,0,40,40
notax,9,Rounds 11-20,buyer,0,2,29,29
notax,9,Rounds 11-20,buyer,0,5,27,27
notax,9,Rounds 11-20,buyer,0,8,25,25
notax,9,Rounds 11-20,buyer,0,9,23,23
notax,9,Rounds 11-20,buyer,0,11,19,19
notax,9,Rounds 11-20,buyer,0,12,15,15
notax,9,Rounds 11-20,buyer,0,14,11,11
notax,9,Rounds 11-20,buyer,0,14,0,0
notax,9,Rounds 11-20,seller,0,0,0,0
notax,9,Rounds 11-20,seller,0,1,2,2
notax,9,Rounds 11-20,seller,0,2,4,4
notax,9,Rounds 11-20,seller,0,6,6,6
notax,9,Rounds 11-20,seller,0,7,8,8
notax,9,Rounds 11-20,seller,0,9,10,10
notax,9,Rounds 11-20,seller,0,11,12,12
notax,9,Rounds 11-20,seller,0,12,14,14
notax,9,Rounds 11-20,seller,0,14,16,16
notax,9,Rounds 11-20,seller,0,17,20,20
notax,9,Rounds 11-20,seller,0,17,40,40
notax,10,Rounds 1-10,buyer,0,0,40,40
notax,10,Rounds 1-10,buyer,0,1,29,29
notax,10,Rounds 1-10,buyer,0,2,25,25
notax,10,Rounds 1-10,buyer,0,3,21,21
notax,10,Rounds 1-10,buyer,0,5,19,19
notax,10,Rounds 1-10,buyer,0,7,17,17
notax,10,Rounds 1-10,buyer,0,10,15,15
notax,10,Rounds 1-10,buyer,0,11,11,11
notax,10,Rounds 1-10,buyer,0,11,0,0
notax,10,Rounds 1-10,seller,0,0,0,0
notax,10,Rounds 1-10,seller,0,3,2,2
notax,10,Rounds 1-10,seller,0,6,4,4
notax,10,Rounds 1-10,seller,0,8,6,6
notax,10,Rounds 1-10,seller,0,9,8,8
notax,10,Rounds 1-10,seller,0,10,10,10
notax,10,Rounds 1-10,seller,0,11,12,12
notax,10,Rounds 1-10,seller,0,13,14,14
notax,10,Rounds 1-10,seller,0,16,16,16
notax,10,Rounds 1-10,seller,0,21,18,18
notax,10,Rounds 1-10,seller,0,23,20,20
notax,10,Rounds 1-10,seller,0,23,40,40
notax,10,Rounds 11-20,buyer,0,0,40,40
notax,10,Rounds 11-20,buyer,0,2,29,29
notax,10,Rounds 11-20,buyer,0,5,27,27
notax,10,Rounds 11-20,buyer,0,8,25,25
notax,10,Rounds 11-20,buyer,0,9,23,23
notax,10,Rounds 11-20,buyer,0,11,19,19
notax,10,Rounds 11-20,buyer,0,12,15,15
notax,10,Rounds 11-20,buyer,0,14,11,11
notax,10,Rounds 11-20,buyer,0,14,0,0
notax,10,Rounds 11-20,seller,0,0,0,0
notax,10,Rounds 11-20,seller,0,1,2,2
notax,10,Rounds 11-20,seller,0,2,4,4
notax,10,Rounds 11-20,seller,0,6,6,6
notax,10,Rounds 11-20,seller,0,7,8,8
notax,10,Rounds 11-20,seller,0,9,10,10
notax,10,Rounds 11-20,seller,0,11,12,12
notax,10,Rounds 11-20,seller,0,12,14,14
notax,10,Rounds 11-20,seller,0,14,16,16
notax,10,Rounds 11-20,seller,0,17,20,20
notax,10,Rounds 11-20,seller,0,17,40,40
tax,1,Rounds 1-10,buyer,10,0,40,40
tax,1,Rounds 1-10,buyer,10,2,28,28
tax,1,Rounds 1-10,buyer,10,3,26,26
tax,1,Rounds 1-10,buyer,10,4,22,22
tax,1,Rounds 1-10,buyer,10,6,20,20
tax,1,Rounds 1-10,buyer,10,7,18,18
tax,1,Rounds 1-10,buyer,10,11,16,16
tax,1,Rounds 1-10,buyer,10,13,12,12
tax,1,Rounds 1-10,buyer,10,16,10,10
tax,1,Rounds 1-10,buyer,10,16,0,0
tax,1,Rounds 1-10,seller,10,0,0,10
tax,1,Rounds 1-10,seller,10,1,1,11
tax,1,Rounds 1-10,seller,10,3,3,13
tax,1,Rounds 1-10,seller,10,5,5,15
tax,1,Rounds 1-10,seller,10,7,7,17
tax,1,Rounds 1-10,seller,10,9,9,19
tax,1,Rounds 1-10,seller,10,11,11,21
tax,1,Rounds 1-10,seller,10,14,13,23
tax,1,Rounds 1-10,seller,10,14,40,50
tax,1,Rounds 11-20,buyer,10,0,40,40
tax,1,Rounds 11-20,buyer,10,1,28,28
tax,1,Rounds 11-20,buyer,10,2,26,26
tax,1,Rounds 11-20,buyer,10,3,24,24
tax,1,Rounds 11-20,buyer,10,4,22,22
tax,1,Rounds 11-20,buyer,10,5,20,20
tax,1,Rounds 11-20,buyer,10,7,18,18
tax,1,Rounds 11-20,buyer,10,8,16,16
tax,1,Rounds 11-20,buyer,10,9,14,14
tax,1,Rounds 11-20,buyer,10,11,10,10
tax,1,Rounds 11-20,buyer,10,11,0,0
tax,1,Rounds 11-20,seller,10,0,0,10
tax,1,Rounds 11-20,seller,10,2,3,13
tax,1,Rounds 11-20,seller,10,4,5,15
tax,1,Rounds 11-20,seller,10,9,7,17
tax,1,Rounds 11-20,seller,10,11,9,19
tax,1,Rounds 11-20,seller,10,14,11,21
tax,1,Rounds 11-20,seller,10,17,15,25
tax,1,Rounds 11-20,seller,10,19,17,27
tax,1,Rounds 11-20,seller,10,20,19,29
tax,1,Rounds 11-20,seller,10,20,40,50
tax,2,Rounds 1-10,buyer,10,0,40,40
tax,2,Rounds 1-10,buyer,10,2,28,28
tax,2,Rounds 1-10,buyer,10,3,26,26
tax,2,Rounds 1-10,buyer,10,4,22,22
tax,2,Rounds 1-10,buyer,10,6,20,20
tax,2,Rounds 1-10,buyer,10,7,18,18
tax,2,Rounds 1-10,buyer,10,11,16,16
tax,2,Rounds 1-10,buyer,10,13,12,12
tax,2,Rounds 1-10,buyer,10,16,10,10
tax,2,Rounds 1-10,buyer,10,16,0,0
tax,2,Rounds 1-10,seller,10,0,0,10
tax,2,Rounds 1-10,seller,10,1,1,11
tax,2,Rounds 1-10,seller,10,3,3,13
tax,2,Rounds 1-10,seller,10,5,5,15
tax,2,Rounds 1-10,seller,10,7,7,17
tax,2,Rounds 1-10,seller,10,9,9,19
tax,2,Rounds 1-10,seller,10,11,11,21
tax,2,Rounds 1-10,seller,10,14,13,23
tax,2,Rounds 1-10,seller,10,14,40,50
tax,2,Rounds 11-20,buyer,10,0,40,40
tax,2,Rounds 11-20,buyer,10,1,28,28
tax,2,Rounds 11-20,buyer,10,2,26,26
tax,2,Rounds 11-20,buyer,10,3,24,24
tax,2,Rounds 11-20,buyer,10,4,22,22
tax,2,Rounds 11-20,buyer,10,5,20,20
tax,2,Rounds 11-20,buyer,10,7,18,18
tax,2,Rounds 11-20,buyer,10,8,16,16
tax,2,Rounds 11-20,buyer,10,9,14,14
tax,2,Rounds 11-20,buyer,10,11,10,10
tax,2,Rounds 11-20,buyer,10,11,0,0
tax,2,Rounds 11-20,seller,10,0,0,10
tax,2,Rounds 11-20,seller,10,2,3,13
tax,2,Rounds 11-20,seller,10,4,5,15
tax,2,Rounds 11-20,seller,10,9,7,17
tax,2,Rounds 11-20,seller,10,11,9,19
tax,2,Rounds 11-20,seller,10,14,11,21
tax,2,Rounds 11-20,seller,10,17,15,25
tax,2,Rounds 11-20,seller,10,19,17,27
tax,2,Rounds 11-20,seller,10,20,19,29
tax,2,Rounds 11-20,seller,10,20,40,50
tax,3,Rounds 1-10,buyer,10,0,40,40
tax,3,Rounds 1-10,buyer,10,2,28,28
tax,3,Rounds 1-10,buyer,10,3,26,26
tax,3,Rounds 1-10,buyer,10,4,22,22
tax,3,Rounds 1-10,buyer,10,6,20,20
tax,3,Rounds 1-10,buyer,10,7,18,18
tax,3,Rounds 1-10,buyer,10,11,16,16
tax,3,Rounds 1-10,buyer,10,13,12,12
tax,3,Rounds 1-10,buyer,10,16,10,10
tax,3,Rounds 1-10,buyer,10,16,0,0
tax,3,Rounds 1-10,seller,10,0,0,10
tax,3,Rounds 1-10,seller,10,1,1,11
tax,3,Rounds 1-10,seller,10,3,3,13
tax,3,Rounds 1-10,seller,10,5,5,15
tax,3,Rounds 1-10,seller,10,7,7,17
tax,3,Rounds 1-10,seller,10,9,9,19
tax,3,Rounds 1-10,seller,10,11,11,21
tax,3,Rounds 1-10,seller,10,14,13,23
tax,3,Rounds 1-10,seller,10,14,40,50
tax,3,Rounds 11-20,buyer,10,0,40,40
tax,3,Rounds 11-20,buyer,10,1,28,28
tax,3,Rounds 11-20,buyer,10,2,26,26
tax,3,Rounds 11-20,buyer,10,3,24,24
tax,3,Rounds 11-20,buyer,10,4,22,22
tax,3,Rounds 11-20,buyer,10,5,20,20
tax,3,Rounds 11-20,buyer,10,7,18,18
tax,3,Rounds 11-20,buyer,10,8,16,16
tax,3,Rounds 11-20,buyer,10,9,14,14
tax,3,Rounds 11-20,buyer,10,11,10,10
tax,3,Rounds 11-20,buyer,10,11,0,0
tax,3,Rounds 11-20,seller,10,0,0,10
tax,3,Rounds 11-20,seller,10,2,3,13
tax,3,Rounds 11-20,seller,10,4,5,15
tax,3,Rounds 11-20,seller,10,9,7,17
tax,3,Rounds 11-20,seller,10,11,9,19
tax,3,Rounds 11-20,seller,10,14,11,21
tax,3,Rounds 11-20,seller,10,17,15,25
tax,3,Rounds 11-20,seller,10,19,17,27
tax,3,Rounds 11-20,seller,10,20,19,29
tax,3,Rounds 11-20,seller,10,20,40,50
tax,4,Rounds 1-10,buyer,10,0,40,40
tax,4,Rounds 1-10,buyer,10,2,28,28
tax,4,Rounds 1-10,buyer,10,3,26,26
tax,4,Rounds 1-10,buyer,10,4,22,22
tax,4,Rounds 1-10,buyer,10,6,20,20
tax,4,Rounds 1-10,buyer,10,7,18,18
tax,4,Rounds 1-10,buyer,10,11,16,16
tax,4,Rounds 1-10,buyer,10,13,12,12
tax,4,Rounds 1-10,buyer,10,15,10,10
tax,4,Rounds 1-10,buyer,10,15,0,0
tax,4,Rounds 1-10,seller,10,0,0,10
tax,4,Rounds 1-10,seller,10,1,1,11
tax,4,Rounds 1-10,seller,10,3,3,13
tax,4,Rounds 1-10,seller,10,5,5,15
tax,4,Rounds 1-10,seller,10,7,7,17
tax,4,Rounds 1-10,seller,10,9,9,19
tax,4,Rounds 1-10,seller,10,11,11,21
